label,Date,CValue
LESS: Goodwill net of associated deferred tax liabilities (DTLs),2023-03-31,[4.0891e+10]
"LESS: Intangible assets (other than goodwill and mortgage servicing assets (MSAs)), net of associated DTLs",2017-12-31,[39000000.]
"LESS: Intangible assets (other than goodwill and mortgage servicing assets (MSAs)), net of associated DTLs",2018-03-31,[1.5e+08]
"LESS: Intangible assets (other than goodwill and mortgage servicing assets (MSAs)), net of associated DTLs",2018-12-31,[-22000000.]
"LESS: Intangible assets (other than goodwill and mortgage servicing assets (MSAs)), net of associated DTLs",2019-06-30,[22000000.]
"LESS: Intangible assets (other than goodwill and mortgage servicing assets (MSAs)), net of associated DTLs",2019-09-30,[71000000.]
"LESS: Intangible assets (other than goodwill and mortgage servicing assets (MSAs)), net of associated DTLs",2020-03-31,[1.6e+08]
"LESS: Intangible assets (other than goodwill and mortgage servicing assets (MSAs)), net of associated DTLs",2021-03-31,[1.17e+08]
"LESS: Intangible assets (other than goodwill and mortgage servicing assets (MSAs)), net of associated DTLs",2021-09-30,[9000000.]
"LESS: Deferred tax assets (DTAs) that arise from net operating loss and tax credit carryforwards, net of any related valuation allowances and net of DTLs",2014-12-31,[-41000000.]
"LESS: Deferred tax assets (DTAs) that arise from net operating loss and tax credit carryforwards, net of any related valuation allowances and net of DTLs",2015-03-31,[35000000.]
"LESS: Deferred tax assets (DTAs) that arise from net operating loss and tax credit carryforwards, net of any related valuation allowances and net of DTLs",2017-03-31,[40000000.]
"LESS: Deferred tax assets (DTAs) that arise from net operating loss and tax credit carryforwards, net of any related valuation allowances and net of DTLs",2017-06-30,[-24000000.]
"LESS: Deferred tax assets (DTAs) that arise from net operating loss and tax credit carryforwards, net of any related valuation allowances and net of DTLs",2019-03-31,[44000000.]
"LESS: Deferred tax assets (DTAs) that arise from net operating loss and tax credit carryforwards, net of any related valuation allowances and net of DTLs",2022-03-31,[52000000.]
"LESS: Deferred tax assets (DTAs) that arise from net operating loss and tax credit carryforwards, net of any related valuation allowances and net of DTLs",2022-06-30,[-20000000.]
"LESS: Deferred tax assets (DTAs) that arise from net operating loss and tax credit carryforwards, net of any related valuation allowances and net of DTLs",2023-03-31,[22000000.]
"LESS: Accumulated net gain (loss) on cash flow hedges included in AOCI, net of applicable income taxes, that relate to the hedging of items that are not recognized at fair value on the balance sheet (if a gain, report as a positive value; if a loss, report as a negative value) (To be completed only by institutions that entered ""0"" for No in item 3.a)",2020-03-31,[2.528e+09]
"LESS: Accumulated net gain (loss) on cash flow hedges included in AOCI, net of applicable income taxes, that relate to the hedging of items that are not recognized at fair value on the balance sheet (if a gain, report as a positive value; if a loss, report as a negative value) (To be completed only by institutions that entered ""0"" for No in item 3.a)",2021-06-30,[5.9e+08]
"LESS: Accumulated net gain (loss) on cash flow hedges included in AOCI, net of applicable income taxes, that relate to the hedging of items that are not recognized at fair value on the balance sheet (if a gain, report as a positive value; if a loss, report as a negative value) (To be completed only by institutions that entered ""0"" for No in item 3.a)",2021-12-31,[-5.71e+08]
"LESS: Accumulated net gain (loss) on cash flow hedges included in AOCI, net of applicable income taxes, that relate to the hedging of items that are not recognized at fair value on the balance sheet (if a gain, report as a positive value; if a loss, report as a negative value) (To be completed only by institutions that entered ""0"" for No in item 3.a)",2022-03-31,[-3.086e+09]
"LESS: Accumulated net gain (loss) on cash flow hedges included in AOCI, net of applicable income taxes, that relate to the hedging of items that are not recognized at fair value on the balance sheet (if a gain, report as a positive value; if a loss, report as a negative value) (To be completed only by institutions that entered ""0"" for No in item 3.a)",2022-06-30,[-1.348e+09]
"LESS: Accumulated net gain (loss) on cash flow hedges included in AOCI, net of applicable income taxes, that relate to the hedging of items that are not recognized at fair value on the balance sheet (if a gain, report as a positive value; if a loss, report as a negative value) (To be completed only by institutions that entered ""0"" for No in item 3.a)",2022-09-30,[-1.698e+09]
"LESS: Accumulated net gain (loss) on cash flow hedges included in AOCI, net of applicable income taxes, that relate to the hedging of items that are not recognized at fair value on the balance sheet (if a gain, report as a positive value; if a loss, report as a negative value) (To be completed only by institutions that entered ""0"" for No in item 3.a)",2022-12-31,[4.75e+08]
"LESS: Accumulated net gain (loss) on cash flow hedges included in AOCI, net of applicable income taxes, that relate to the hedging of items that are not recognized at fair value on the balance sheet (if a gain, report as a positive value; if a loss, report as a negative value) (To be completed only by institutions that entered ""0"" for No in item 3.a)",2023-03-31,[-4.859e+09]
LESS: All other deductions from (additions to) common equity tier 1 capital before threshold-based deductions,2016-12-31,[-59000000.]
LESS: All other deductions from (additions to) common equity tier 1 capital before threshold-based deductions,2018-03-31,[2.46e+08]
LESS: All other deductions from (additions to) common equity tier 1 capital before threshold-based deductions,2019-03-31,[1.96e+08]
LESS: All other deductions from (additions to) common equity tier 1 capital before threshold-based deductions,2020-03-31,[2.97e+08]
LESS: All other deductions from (additions to) common equity tier 1 capital before threshold-based deductions,2021-03-31,[4.29e+08]
LESS: All other deductions from (additions to) common equity tier 1 capital before threshold-based deductions,2021-12-31,[-68000000.]
LESS: All other deductions from (additions to) common equity tier 1 capital before threshold-based deductions,2022-03-31,[4.84e+08]
LESS: All other deductions from (additions to) common equity tier 1 capital before threshold-based deductions,2023-03-31,[4.49e+08]
Subtotal,2014-03-31,[1.44703e+11]
Subtotal,2015-03-31,[1.61912e+11]
Subtotal,2019-06-30,[2.7432e+10]
Subtotal,2019-09-30,[-1.2302e+10]
Subtotal,2020-03-31,[2.04679e+11]
Subtotal,2021-03-31,[2.42464e+11]
Subtotal,2022-03-31,[2.63897e+11]
Subtotal,2023-03-31,[2.73551e+11]
LESS: Deductions applied to common equity tier 1 capital due to insufficient amounts of additional tier 1 capital and tier 2 capital to cover deductions,2014-09-30,[1.68e+08]
LESS: Deductions applied to common equity tier 1 capital due to insufficient amounts of additional tier 1 capital and tier 2 capital to cover deductions,2014-12-31,[-2.26e+08]
LESS: Deductions applied to common equity tier 1 capital due to insufficient amounts of additional tier 1 capital and tier 2 capital to cover deductions,2017-03-31,[1.28e+08]
LESS: Deductions applied to common equity tier 1 capital due to insufficient amounts of additional tier 1 capital and tier 2 capital to cover deductions,2017-06-30,[1.31e+08]
LESS: Deductions applied to common equity tier 1 capital due to insufficient amounts of additional tier 1 capital and tier 2 capital to cover deductions,2017-09-30,[-65000000.]
LESS: Deductions applied to common equity tier 1 capital due to insufficient amounts of additional tier 1 capital and tier 2 capital to cover deductions,2017-12-31,[1.25e+08]
LESS: Deductions applied to common equity tier 1 capital due to insufficient amounts of additional tier 1 capital and tier 2 capital to cover deductions,2018-03-31,[74000000.]
LESS: Deductions applied to common equity tier 1 capital due to insufficient amounts of additional tier 1 capital and tier 2 capital to cover deductions,2018-12-31,[33000000.]
Total adjustments and deductions for common equity tier 1 capital,2014-09-30,[1.68e+08]
Total adjustments and deductions for common equity tier 1 capital,2014-12-31,[-2.26e+08]
Total adjustments and deductions for common equity tier 1 capital,2017-03-31,[1.28e+08]
Total adjustments and deductions for common equity tier 1 capital,2017-06-30,[1.31e+08]
Total adjustments and deductions for common equity tier 1 capital,2017-09-30,[-65000000.]
Total adjustments and deductions for common equity tier 1 capital,2017-12-31,[1.25e+08]
Total adjustments and deductions for common equity tier 1 capital,2018-03-31,[74000000.]
Total adjustments and deductions for common equity tier 1 capital,2018-12-31,[33000000.]
Common equity tier 1 capital,2014-03-31,[1.44703e+11]
Common equity tier 1 capital,2015-03-31,[1.61912e+11]
Common equity tier 1 capital,2019-06-30,[2.7464e+10]
Common equity tier 1 capital,2019-09-30,[-1.2275e+10]
Common equity tier 1 capital,2020-03-31,[2.04679e+11]
Common equity tier 1 capital,2021-03-31,[2.42464e+11]
Common equity tier 1 capital,2022-03-31,[2.63897e+11]
Common equity tier 1 capital,2023-03-31,[2.73551e+11]
Non-qualifying capital instruments subject to phase out from additional tier 1 capital,2014-03-31,[3.e+08]
Non-qualifying capital instruments subject to phase out from additional tier 1 capital,2015-03-31,[1.5e+08]
Non-qualifying capital instruments subject to phase out from additional tier 1 capital,2015-09-30,[2.7e+08]
Non-qualifying capital instruments subject to phase out from additional tier 1 capital,2016-03-31,[3.6e+08]
Non-qualifying capital instruments subject to phase out from additional tier 1 capital,2016-12-31,[-3.6e+08]
Tier 1 minority interest not included in common equity tier 1 capital,2014-03-31,[45000000.]
Tier 1 minority interest not included in common equity tier 1 capital,2014-12-31,[3.21e+08]
Tier 1 minority interest not included in common equity tier 1 capital,2015-03-31,[2.28e+08]
Tier 1 minority interest not included in common equity tier 1 capital,2016-03-31,[1.76e+08]
Tier 1 minority interest not included in common equity tier 1 capital,2017-03-31,[1.5e+08]
Tier 1 minority interest not included in common equity tier 1 capital,2017-06-30,[-1.07e+08]
Tier 1 minority interest not included in common equity tier 1 capital,2018-03-31,[20000000.]
Additional tier 1 capital before deductions,2014-03-31,[3.45e+08]
Additional tier 1 capital before deductions,2014-12-31,[3.21e+08]
Additional tier 1 capital before deductions,2015-03-31,[3.78e+08]
Additional tier 1 capital before deductions,2015-09-30,[2.58e+08]
Additional tier 1 capital before deductions,2016-03-31,[5.36e+08]
Additional tier 1 capital before deductions,2016-12-31,[-3.59e+08]
Additional tier 1 capital before deductions,2017-03-31,[1.5e+08]
Additional tier 1 capital before deductions,2017-06-30,[-1.07e+08]
LESS: Additional tier 1 capital deductions,2014-03-31,[3.33e+08]
LESS: Additional tier 1 capital deductions,2014-09-30,[1.68e+08]
LESS: Additional tier 1 capital deductions,2014-12-31,[-2.29e+08]
LESS: Additional tier 1 capital deductions,2015-03-31,[3.04e+08]
LESS: Additional tier 1 capital deductions,2015-09-30,[1.46e+08]
LESS: Additional tier 1 capital deductions,2015-12-31,[-1.05e+08]
LESS: Additional tier 1 capital deductions,2016-03-31,[2.92e+08]
LESS: Additional tier 1 capital deductions,2017-03-31,[2.78e+08]
"Additional tier 1 capital (greater of item 23 minus item 24, or zero)",2014-06-30,[-12000000.]
"Additional tier 1 capital (greater of item 23 minus item 24, or zero)",2014-12-31,[3.24e+08]
"Additional tier 1 capital (greater of item 23 minus item 24, or zero)",2015-03-31,[74000000.]
"Additional tier 1 capital (greater of item 23 minus item 24, or zero)",2015-09-30,[1.12e+08]
"Additional tier 1 capital (greater of item 23 minus item 24, or zero)",2015-12-31,[1.01e+08]
"Additional tier 1 capital (greater of item 23 minus item 24, or zero)",2016-03-31,[2.44e+08]
"Additional tier 1 capital (greater of item 23 minus item 24, or zero)",2016-09-30,[43000000.]
"Additional tier 1 capital (greater of item 23 minus item 24, or zero)",2016-12-31,[-2.7e+08]
Tier 2 capital instruments plus related surplus,2014-03-31,[6.035e+09]
Tier 2 capital instruments plus related surplus,2014-06-30,[-6.92e+08]
Tier 2 capital instruments plus related surplus,2015-03-31,[3.933e+09]
Tier 2 capital instruments plus related surplus,2015-06-30,[-8.17e+08]
Tier 2 capital instruments plus related surplus,2016-03-31,[2.421e+09]
Tier 2 capital instruments plus related surplus,2016-12-31,[-1.745e+09]
Tier 2 capital instruments plus related surplus,2017-03-31,[4.7e+08]
Tier 2 capital instruments plus related surplus,2019-06-30,[3.006e+09]
Non-qualifying capital instruments subject to phase-out from tier 2 capital,2014-03-31,[3.e+08]
Non-qualifying capital instruments subject to phase-out from tier 2 capital,2015-03-31,[4.5e+08]
Non-qualifying capital instruments subject to phase-out from tier 2 capital,2015-09-30,[-2.7e+08]
Non-qualifying capital instruments subject to phase-out from tier 2 capital,2015-12-31,[-1.8e+08]
Total capital minority interest that is not included in tier 1 capital,2016-03-31,[4000000.]
Total capital minority interest that is not included in tier 1 capital,2016-06-30,[-1000000.]
Total capital minority interest that is not included in tier 1 capital,2017-09-30,[-1000000.]
Total capital minority interest that is not included in tier 1 capital,2018-03-31,[6000000.]
Total capital minority interest that is not included in tier 1 capital,2018-06-30,[-2000000.]
Total capital minority interest that is not included in tier 1 capital,2018-12-31,[-2000000.]
Total capital minority interest that is not included in tier 1 capital,2020-06-30,[-2000000.]
Total capital minority interest that is not included in tier 1 capital,2020-12-31,[-1000000.]
Tier 2 capital before deductions,2014-03-31,[1.9794e+10]
Tier 2 capital before deductions,2015-03-31,[1.62e+10]
Tier 2 capital before deductions,2016-03-31,[1.4719e+10]
Tier 2 capital before deductions,2016-12-31,[-2.261e+09]
Tier 2 capital before deductions,2017-03-31,[1.1896e+10]
Tier 2 capital before deductions,2019-06-30,[6.261e+09]
Tier 2 capital before deductions,2022-03-31,[1.6747e+10]
Tier 2 capital before deductions,2023-03-31,[1.9002e+10]
LESS: Tier 2 capital deductions,2014-06-30,[-9000000.]
LESS: Tier 2 capital deductions,2021-03-31,[72000000.]
LESS: Tier 2 capital deductions,2021-06-30,[71000000.]
LESS: Tier 2 capital deductions,2022-03-31,[2.44e+08]
LESS: Tier 2 capital deductions,2022-06-30,[1.1e+08]
LESS: Tier 2 capital deductions,2022-09-30,[-24000000.]
LESS: Tier 2 capital deductions,2022-12-31,[-76000000.]
LESS: Tier 2 capital deductions,2023-03-31,[3.12e+08]
LESS: Deductions from common equity tier 1 capital and additional tier 1 capital,2017-12-31,[1.169e+09]
LESS: Deductions from common equity tier 1 capital and additional tier 1 capital,2018-03-31,[2.668e+10]
LESS: Deductions from common equity tier 1 capital and additional tier 1 capital,2019-06-30,[1.218e+10]
LESS: Deductions from common equity tier 1 capital and additional tier 1 capital,2020-03-31,[3.9072e+10]
LESS: Deductions from common equity tier 1 capital and additional tier 1 capital,2021-03-31,[3.9167e+10]
LESS: Deductions from common equity tier 1 capital and additional tier 1 capital,2022-03-31,[4.0417e+10]
LESS: Deductions from common equity tier 1 capital and additional tier 1 capital,2022-12-31,[9.e+08]
LESS: Deductions from common equity tier 1 capital and additional tier 1 capital,2023-03-31,[4.1438e+10]
"LESS: Unrealized net gain (loss) related to changes in the fair value of liabilities that are due to changes in own credit risk (if a gain, report as a positive value; if a loss, report as a negative value)",2016-03-31,[3.06e+08]
"LESS: Unrealized net gain (loss) related to changes in the fair value of liabilities that are due to changes in own credit risk (if a gain, report as a positive value; if a loss, report as a negative value)",2018-12-31,[3.72e+08]
"LESS: Unrealized net gain (loss) related to changes in the fair value of liabilities that are due to changes in own credit risk (if a gain, report as a positive value; if a loss, report as a negative value)",2019-12-31,[-3.37e+08]
"LESS: Unrealized net gain (loss) related to changes in the fair value of liabilities that are due to changes in own credit risk (if a gain, report as a positive value; if a loss, report as a negative value)",2020-03-31,[1.568e+09]
"LESS: Unrealized net gain (loss) related to changes in the fair value of liabilities that are due to changes in own credit risk (if a gain, report as a positive value; if a loss, report as a negative value)",2020-06-30,[-1.154e+09]
"LESS: Unrealized net gain (loss) related to changes in the fair value of liabilities that are due to changes in own credit risk (if a gain, report as a positive value; if a loss, report as a negative value)",2021-09-30,[-3.85e+08]
"LESS: Unrealized net gain (loss) related to changes in the fair value of liabilities that are due to changes in own credit risk (if a gain, report as a positive value; if a loss, report as a negative value)",2022-12-31,[-2.21e+08]
"LESS: Unrealized net gain (loss) related to changes in the fair value of liabilities that are due to changes in own credit risk (if a gain, report as a positive value; if a loss, report as a negative value)",2023-03-31,[3.27e+08]
Total,2004-03-31,[5.4693e+10]
Total,2005-03-31,[6.062e+10]
Total,2007-03-31,[6.3436e+10]
Total,2008-03-31,[6.181e+10]
Total,2008-12-31,[8.2794e+10]
Total,2009-03-31,[1.18981e+11]
Total,2009-06-30,[-2.8063e+10]
Total,2010-03-31,[9.3053e+10]
Total,2011-03-31,[1.08243e+11]
Total,2011-06-30,[9.685e+10]
Total,2011-12-31,[-4.3146e+10]
Total,2012-03-31,[1.70383e+11]
Total,2013-03-31,[3.02301e+11]
Total,2013-12-31,[-4.5713e+10]
Total,2014-03-31,[3.81434e+11]
Total,2014-12-31,[8.7182e+10]
Total,2015-03-31,[5.08253e+11]
Total,2015-06-30,[-1.14175e+11]
Total,2015-09-30,[-2.1084e+10]
Total,2015-12-31,[-3.5203e+10]
Total,2016-03-31,[3.82386e+11]
Total,2016-09-30,[6.4069e+10]
Total,2017-03-31,[4.82562e+11]
Total,2017-12-31,[-2.3576e+10]
Total,2018-03-31,[4.45217e+11]
Total,2018-12-31,[-1.34717e+11]
Total,2019-03-31,[3.39304e+11]
Total,2019-06-30,[-7.072e+10]
Total,2020-03-31,[3.68087e+11]
Total,2020-06-30,[1.25326e+11]
Total,2021-03-31,[7.1126e+11]
Total,2021-09-30,[5.4577e+10]
Total,2022-03-31,[7.55227e+11]
Total,2022-06-30,[-8.4678e+10]
Total,2022-09-30,[-2.5155e+10]
Total,2022-12-31,[-7.6848e+10]
Total,2023-03-31,[5.51018e+11]
Total,2020-03-31,[7.1219e+10]
Total,2020-09-30,[6.8742e+10]
Total,2020-12-31,[6.0226e+10]
Total,2021-03-31,[2.17546e+11]
Total,2021-06-30,[1.24014e+11]
Total,2022-03-31,[3.66623e+11]
Total,2022-06-30,[7.5072e+10]
Total,2023-03-31,[4.12888e+11]
Total,2020-03-31,[7.3524e+10]
Total,2020-09-30,[6.8889e+10]
Total,2020-12-31,[6.0476e+10]
Total,2021-03-31,[2.1771e+11]
Total,2021-06-30,[1.25143e+11]
Total,2022-03-31,[3.50495e+11]
Total,2022-06-30,[6.5092e+10]
Total,2022-09-30,[-2.5807e+10]
Total,2023-03-31,[3.81992e+11]
Total,2001-03-31,[6.0663e+10]
Total,2002-03-31,[5.7248e+10]
Total,2003-03-31,[7.9393e+10]
Total,2004-03-31,[6.4137e+10]
Total,2005-03-31,[6.0958e+10]
Total,2006-03-31,[5.6386e+10]
Total,2007-03-31,[9.0895e+10]
Total,2008-03-31,[9.3467e+10]
Total,2009-03-31,[3.2145e+11]
Total,2010-03-31,[3.315e+11]
Total,2010-06-30,[-3.3085e+10]
Total,2010-12-31,[-2.1053e+10]
Total,2011-03-31,[3.20699e+11]
Total,2012-03-31,[3.61879e+11]
Total,2012-06-30,[-2.6606e+10]
Total,2013-03-31,[3.44334e+11]
Total,2013-12-31,[-2.1368e+10]
Total,2014-03-31,[2.78044e+11]
Total,2015-03-31,[2.6711e+11]
Total,2016-03-31,[2.27113e+11]
Total,2017-03-31,[2.2625e+11]
Total,2018-03-31,[2.04512e+11]
Total,2019-03-31,[2.31578e+11]
Total,2019-09-30,[7.6594e+10]
Total,2020-03-31,[3.93065e+11]
Total,2020-06-30,[8.2414e+10]
Total,2020-09-30,[-9.4252e+10]
Total,2021-03-31,[3.77984e+11]
Total,2021-06-30,[-1.48461e+11]
Total,2021-12-31,[5.8796e+10]
Total,2022-03-31,[3.21912e+11]
Total,2022-06-30,[-9.0122e+10]
Total,2022-09-30,[-3.0976e+10]
Total,2023-03-31,[2.04586e+11]
Total,2001-03-31,[6.0361e+10]
Total,2002-03-31,[5.6159e+10]
Total,2003-03-31,[8.0076e+10]
